date,dxy_delta20d,z,score
2025-09-17,0,0,34
2025-09-18,0,0,34
2025-09-19,0,0,31
2025-09-20,0,0,26
2025-09-21,0,0,27
2025-09-22,0,0,27
2025-09-23,0,0,49
2025-09-24,0,0,41
2025-09-25,0,0,49
2025-09-26,0,0,49
2025-09-27,0,0,59
2025-09-28,0,0,59
2025-09-29,0,0,59
2025-09-30,0,0,59
2025-10-01,0,0,60
2025-10-02,0,0,63
2025-10-03,0,0,60
2025-10-04,0,0,69
2025-10-05,0,0,69
2025-10-06,0,0,69
2025-10-07,0,0,67
2025-10-08,0,0,61
2025-10-09,0,0,68
2025-10-10,0,0,58
2025-10-11,0,0,62
2025-10-12,0,0,63
2025-10-13,0,0,63
2025-10-14,0,0,71
2025-10-15,0,0,90
2025-10-16,0,0,91
