horizon_days,n,mean_return_decimal,median_return_decimal,p25_return_decimal,p75_return_decimal,min_return_decimal,max_return_decimal,status,analysis_source_sha,protocol_version
30,292,-0.0522998541495515,-0.023187177057495956,-0.15175155979087296,0.0319388105545928,-0.3301676015794949,0.18613549617313696,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
90,235,-0.15030780519985631,-0.19123889274344708,-0.23383278769099353,-0.11147417715254854,-0.37204579202375854,0.22248923009629062,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
180,152,-0.26673426605815687,-0.2918963567214518,-0.3222997956004303,-0.20981155950415561,-0.45708259062973977,-0.021434131594577188,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h4-forward-return-v1
