date,schema_version,day_flow_usd,sum21_usd,z,pct,score
2026-08-17,v2,-56.2,584.8000000000002,-2.004819428332667,0,74
2026-08-18,v2,137.3,589.8,-2.0029823131179643,0,71
2026-08-19,v2,189.3,712.5,-1.9578995057491646,0,67
2026-08-20,v2,517.2,1026.4999999999998,-1.8425286702658463,0,54
2026-08-21,v2,606.3,1563.7,-1.6451490115982075,0.7299270072992701,60
2026-08-22,v2,307.5,2096.3,-1.4494594989280947,4.37956204379562,56
2026-08-23,v2,307.5,2096.3,-1.4494594989280947,4.37956204379562,56
2026-08-24,v2,307.5,2096.3,-1.4494594989280947,4.37956204379562,56
2026-08-25,v2,337.6,2674.0000000000005,-1.237199207021365,7.664233576642336,45
2026-08-26,v2,314.3,2999.9000000000005,-1.1174560373270548,13.503649635036496,61
2026-08-29,v2,-201.9,3057.0000000000005,-1.096476181575152,14.963503649635038,47
