date,schema_version,funding_30d_avg,score
2026-08-17,v2,0.007616666666666669,32
2026-08-18,v2,0.007713333333333335,37
2026-08-19,v2,0.007216666666666668,46
2026-08-20,v2,0.006583333333333334,71
2026-08-21,v2,0.005986666666666667,67
2026-08-22,v2,0.00581,68
2026-08-23,v2,0.006126666666666668,65
2026-08-24,v2,0.006126666666666668,64
2026-08-25,v2,0.006083333333333333,63
2026-08-26,v2,0.006209999999999999,62
2026-08-29,v2,0.008433333333333338,51
2026-08-30,v2,0.009066666666666669,50
2026-09-01,v2,0.009956666666666671,46
2026-09-02,v2,0.00995666666666667,44
