date,schema_version,trending_rank,momentum_7d_pct,score
2026-08-17,v2,9,-1.8271219828493768,42
2026-08-18,v2,,-1.4335771952504912,44
2026-08-19,v2,4,-0.8675341543430292,65
2026-08-20,v2,2,2.2722940858503438,88
2026-08-21,v2,1,6.203962374249671,88
2026-08-22,v2,2,9.998525652020644,88
2026-08-23,v2,7,13.806241783556128,78
2026-08-24,v2,5,16.823096262734403,78
2026-08-25,v2,6,20.04303059047497,78
2026-08-26,v2,5,20.305383280791446,78
2026-08-29,v2,10,12.3570046427569,60
2026-08-30,v2,6,9.291806446161262,65
2026-09-01,v2,15,3.085455383115584,47
