horizon_days,n,mean_mace,median_mace,p25_mace,p75_mace,min_mace,max_mace,mean_maximum_close_drawdown,median_maximum_close_drawdown,mean_close_to_close_volatility_annualized,median_close_to_close_volatility_annualized,mean_zero_target_downside_deviation_annualized,median_zero_target_downside_deviation_annualized,mace_ge_10pct_event_count,mace_ge_10pct_event_rate,mace_ge_20pct_event_count,mace_ge_20pct_event_rate,mace_ge_30pct_event_count,mace_ge_30pct_event_rate,status,analysis_source_sha,protocol_version
30,292,0.10737695594669797,0.07284877515661836,0.02894794426399397,0.18393818939015305,0,0.3511290680764203,0.1411989300657139,0.11697713226951212,0.4203715621054036,0.40673321052323835,0.32088039713867317,0.30599296111952556,115,0.3938356164383562,63,0.21575342465753425,15,0.05136986301369863,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
90,235,0.23184640902060719,0.2524614935587891,0.1814395333219832,0.2966106413654829,0,0.40774817917770456,0.2843432077786425,0.2880299620474407,0.45733691691245004,0.4136802431084297,0.3501985017630364,0.3134760947346677,207,0.8808510638297873,170,0.723404255319149,50,0.2127659574468085,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
180,152,0.3482939779412759,0.3458452382835755,0.31091269164342616,0.42587369290898697,0.1135164963168418,0.4951578456841347,0.3912477563827075,0.38421379532559174,0.48580013312837184,0.4930207022692187,0.36812322495841987,0.37523258486804756,152,1,138,0.9078947368421053,122,0.8026315789473685,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
