horizon_days,model_version,n,mean_mace,median_mace,status,analysis_source_sha,protocol_version
30,v3.1.0,83,0.12135821899960895,0.11445050631211773,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
30,v1.1,209,0.1018245883228146,0.06004567707304065,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
30,v1.1.1,0,,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
90,v3.1.0,83,0.2838840751079433,0.27347926845537496,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
90,v1.1,152,0.20343110451239066,0.23707231443264382,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
90,v1.1.1,0,,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
180,v3.1.0,83,0.3946019882940392,0.419728760091282,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
180,v1.1,69,0.2925901394009952,0.3213341851256364,OK,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
180,v1.1.1,0,,,NO_COMPLETED_OUTCOMES,2d09d2d77fbe6b7f6c5765b48188ed1d2a88db2b,h5-risk-outcome-v1
